"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"279","53614099999","1112","38.4833333","106.2166667","1990-01-01","2019-12-31",-17.39,-14.72,-7.22,-0.78,5.89,12.5,15.28,13.22,6.72,-1.78,-7.72,-14.72
"281","54161099999","215.18","43.996419","125.680786","1990-01-01","2019-12-31",-26.22,-23,-14.78,-4.11,4.28,11.61,15.61,13.61,4.39,-5,-16.78,-24
"283","54511099999","35.35","40.080111","116.584556","1990-01-01","2019-12-31",-13,-10.89,-4,3,9.72,15.89,19.72,17.72,10.28,2,-6,-10.61
"285","54662099999","32.61","38.965667","121.5386","1990-01-01","2019-12-31",-13,-10,-4.39,2.61,9,14.72,19,19,12.89,4,-5,-10
"287","54857099999","10.05","36.266108","120.374436","1990-01-01","2019-12-31",-10,-8,-2.72,4,10.11,15.78,20,20,13.89,6,-2,-7
"289","55591099999","3650","29.6666667","91.1333333","1990-01-01","2019-12-31",-10.5,-8,-4.28,-0.28,3.22,7.22,9,8.72,6.11,-0.61,-5.61,-9.61
"291","56294099999","495.3","30.578528","103.947086","1990-01-01","2019-12-31",0,2,5,10,14.72,18,20.5,19.28,16.28,12,5.61,1
"293","56778099999","1894.94","24.992364","102.743536","1990-01-01","2019-12-31",0,1,4.5,7.72,10.78,14,15,14,12,8,3.89,0
"295","57036099999","479.14","34.447119","108.751592","1990-01-01","2019-12-31",-10,-6,-1,5,10,16,19,17.39,12,4,-4,-8.5
"297","57083099999","150.87","34.519672","113.840889","1990-01-01","2019-12-31",-7.89,-5.61,-1,4.89,11.22,17,20.11,18.28,12.61,5.5,-1.11,-6
"299","57494099999","34.44","30.783758","114.2081","1990-01-01","2019-12-31",-3.61,-2,2.39,8,14.22,19,22.22,21,16.28,9.39,2.72,-2.11
"303","57516099999","416.05","29.719217","106.641678","1990-01-01","2019-12-31",2,4,7,11,15.61,19,22,21,17.61,13,8,3
"305","57816099999","1138.73","26.538522","106.800703","1990-01-01","2019-12-31",-2.89,-1.5,1.89,6.89,11.61,15,18,17,13.22,8.89,3.61,-0.61
"307","57957099999","173.73","25.218106","110.039197","1990-01-01","2019-12-31",1,2.61,6,11.22,16,20.72,23,22.61,18,13,7,1.11
"309","58367099999","3.04","31.197875","121.336319","1990-01-01","2019-12-31",-3,-2,2,8,14,19,23,23,18,11,4,-2
"311","58606099999","43.58","28.865","115.9","1990-01-01","2019-12-31",-1.11,0.72,4.28,9.89,16.11,20.11,23.5,23.28,18.61,12.72,5.5,0.61
"313","59134099999","17.98","24.544036","118.127739","1990-01-01","2019-12-31",6.22,6.61,8.61,12.39,17.39,21.11,23.78,23.39,21.5,17.5,13.11,8
"315","60033099999","63.09","27.151667","-13.219167","1990-01-01","2019-12-31",10,10,12,13,15,17,18,19,18,17,13,11
"317","60141099999","579.12","33.927261","-4.977958","1990-01-01","2019-12-31",0,0.89,2.89,4.5,7.39,10.89,14.11,14.89,12.11,9,4,1
"319","60156099999","199.94","33.367467","-7.589967","1990-01-01","2019-12-31",1.72,2,4.61,6.39,9,13.11,16.22,16.78,13.78,10.39,5.72,3
"321","60230099999","467.86","31.606886","-8.0363","1990-01-01","2019-12-31",3,4.5,7,9,11.78,14.89,17,18,16,12,7,4
"323","60390099999","24.99","36.691014","3.215408","1990-01-01","2019-12-31",1,1,3,5,8.11,12,15.89,16.72,13.72,10,5.5,3
"325","60490099999","89.91","35.623858","-0.621183","1990-01-01","2019-12-31",1.11,2,4.61,6.78,10,14,17.28,17.78,14.22,10.5,5.22,3
"327","60680599999","1412","22.8","5.45","1990-01-01","2019-12-31",1,3,7,11.72,17,20.72,21,20.5,19,13.5,7.78,3
"329","60715099999","6.7","36.851033","10.227217","1990-01-01","2019-12-31",4.5,4.61,6.5,8.5,11.78,15.72,19,20,17.61,14,9,5.72
"331","61052099999","223.11","13.481547","2.183614","1990-01-01","2019-12-31",14,16.39,20,24,25.39,23,21.78,21.39,22,22,18,15
"333","61291099999","380.08","12.533544","-7.949944","1990-01-01","2019-12-31",13,16.5,20,22,22.5,21,20.22,20,20,19.5,14.89,13
"335","61415099999","4.87","20.933067","-17.029956","1990-01-01","2019-12-31",13,13,14,15,16,17.5,18.5,19.5,19.5,18,16,14
"337","61641099999","25.9","14.739708","-17.490225","1990-01-01","2019-12-31",16.61,16.22,17,17.61,19,21.61,23,23,23,23,21,19
"339","61832099999","21.94","9.576889","-13.611961","1990-01-01","2019-12-31",21.5,22.5,23,23.5,23,22,22,22.5,22,22,23,22
"341","61902099999","84.73","-7.969597","-14.393664","1990-01-01","2019-12-31",22.78,23.78,24.5,24.72,24,23,21.89,20.78,20.39,20.5,21,22
"343","62053099999","131.97","32.096786","20.269472","1990-01-01","2019-12-31",6.72,6,7,9,12.72,16.72,19,20,18,15,11,8
"345","62366099999","116.43","30.121944","31.405556","1990-01-01","2019-12-31",7,7.61,9.89,12.5,16,19.78,21.78,22.28,20,17,12,8
"347","62414099999","201.77","23.964356","32.819975","1990-01-01","2019-12-31",6.5,7.39,11,15.39,20.28,24,25.5,25.61,22.78,18.61,12,8
"349","62721099999","385.57","15.589497","32.553161","1990-01-01","2019-12-31",13,14,17.5,21.28,25,26,24,23,24,24,18.5,14.5
"353","63450099999","2325.62","8.977889","38.799319","1990-01-01","2019-12-31",5,7,9.11,9.72,10,9.72,10.5,10.5,9.5,6.61,5,4.28
"357","63705099999","1152.75","0.042386","32.443503","1990-01-01","2019-12-31",17,17.78,17.78,17.72,18,17.28,17,17,17,17.11,17.11,17.39
"359","63740099999","1623.66","-1.319239","36.927775","1990-01-01","2019-12-31",11,11.22,12.61,13.61,12.5,10.22,8.72,9.11,9.72,12,13.61,12.39
"361","63820099999","60.96","-4.034833","39.59425","1990-01-01","2019-12-31",21.61,21.78,22.72,22.5,21,19.78,18.78,18.78,19.22,20.22,21.5,21.78
"363","63870099999","16.45","-6.222025","39.224886","1990-01-01","2019-12-31",22.89,22.89,23.28,23.28,22.39,21.39,20.11,19.22,19.5,20.61,22,23
"365","64210099999","313.02","-4.38575","15.444569","1990-01-01","2019-12-31",21,20.61,21,21,21,18.5,17.39,18.11,20,20.5,20.78,20.72
"369","64500099999","11.88","0.4586","9.412283","1990-01-01","2019-12-31",22.28,22,22,22,22,21.61,21,21.5,22,22,22,22
"371","64650099999","368.19","4.398475","18.518786","1990-01-01","2019-12-31",14,16.39,21,21,21,20.5,20,20,20,20,19.61,16
"373","64700099999","295.04","12.133689","15.034019","1990-01-01","2019-12-31",11.5,14.39,19,23,24,23,21.61,21,21.5,20,16,12
"377","64950099999","694.33","3.722556","11.553269","1990-01-01","2019-12-31",16,19,19,19,19,19,19,19,19,19,19,17
"383","65472099999","62.48","5.605186","-0.166786","1990-01-01","2019-12-31",23,24,23.78,23,22.61,22.39,22.22,22,22.5,22.78,23.61,23.5
"385","65503099999","316.07","12.353194","-1.512417","1990-01-01","2019-12-31",14.78,17,20.5,24,23,22,21,21,21,21.72,17.72,15.22
"389","67002099999","28.34","-11.533661","43.27185","1990-01-01","2019-12-31",23,23,23,23,21,20,19,19,19.78,20.61,22.11,23
