"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"259","48820099999","11.88","21.221192","105.807178","1990-01-01","2019-12-31",26,28,28.89,32.39,36,37,36.5,35.89,34.89,33,30.72,27.22
"261","48900099999","10.05","10.818797","106.651856","1990-01-01","2019-12-31",34,35,36.11,36.72,36.78,35,34.11,34.11,34,33.61,34,33.78
"263","48940099999","171.9","17.988322","102.563256","1990-01-01","2019-12-31",32,35,37,38.39,37,35,34.39,34,34,34,33.39,32
"265","48991099999","12.19","11.546556","104.844139","1990-01-01","2019-12-31",33,35,36,37,37,36,35,35,34,33,33,33
"267","50136099999","438","52.9666666","122.5333333","1990-01-01","2019-12-31",-12.39,-5,5.72,15.72,25.39,30.5,31.72,29.22,24,13.78,0.61,-12.11
"269","50745099999","145.38","47.239628","123.918131","1990-01-01","2019-12-31",-6.5,0.72,11.22,21,28.11,32.11,32.22,30.22,26.39,18.78,7.5,-4.28
"271","51463599999","647.7","43.907106","87.474244","1990-01-01","2019-12-31",-4,1,16,26,31,35,36,35,31,22,11,0
"273","51828099999","1375","37.1333333","79.9333333","1990-01-01","2019-12-31",7.11,12.78,22.72,29.5,32.39,34.89,36.72,35.5,31.78,26.11,18.39,8.78
"275","52866099999","2262","36.6166667","101.7666667","1990-01-01","2019-12-31",7.78,11.78,17.39,22.72,25.22,27,29.61,28.72,24.22,19.61,14.28,8.5
"277","53463099999","1083.86","40.851422","111.824103","1990-01-01","2019-12-31",1,7.5,15.39,24.28,29.78,32.39,33,31,27,20.72,11.39,2.22
"279","53614099999","1112","38.4833333","106.2166667","1990-01-01","2019-12-31",5,10.89,19,26.22,30.28,32.89,34.22,32.72,28.5,23.22,15.5,6
"281","54161099999","215.18","43.996419","125.680786","1990-01-01","2019-12-31",-2.39,4.22,12.5,22.5,28.72,31.61,31.28,30.22,27,21,10.72,0.39
"283","54511099999","35.35","40.080111","116.584556","1990-01-01","2019-12-31",7,11.39,20,27,33,36,36,34,31,24.78,16.39,8.89
"285","54662099999","32.61","38.965667","121.5386","1990-01-01","2019-12-31",6,9,15,22,27.5,30,32,32,29,24,17,9
"287","54857099999","10.05","36.266108","120.374436","1990-01-01","2019-12-31",8,12,18,24,29,32,34,33,30,25,19,11.28
"289","55591099999","3650","29.6666667","91.1333333","1990-01-01","2019-12-31",13.22,15.11,17.22,20.28,24.72,27.28,26.22,24.72,23.61,21.5,16.72,14.22
"291","56294099999","495.3","30.578528","103.947086","1990-01-01","2019-12-31",14,18,24,29,32,33,34.28,35,31,26,21.28,15
"293","56778099999","1894.94","24.992364","102.743536","1990-01-01","2019-12-31",20,23,25.39,28,29,28.28,27.5,27.39,26.5,24.78,22,19.72
"295","57036099999","479.14","34.447119","108.751592","1990-01-01","2019-12-31",10,15,22.61,28.78,32,37,37.39,35.22,31.5,25,19,12
"297","57083099999","150.87","34.519672","113.840889","1990-01-01","2019-12-31",12,16.11,23.11,28.72,33,36.5,36.11,34.61,31.5,27.5,21.28,14.39
"299","57494099999","34.44","30.783758","114.2081","1990-01-01","2019-12-31",14,17.89,23.22,28.89,32.28,34.72,37,37,33.78,28.5,23.61,16.5
"303","57516099999","416.05","29.719217","106.641678","1990-01-01","2019-12-31",13.72,18.39,24.72,30.28,32.89,34.89,38,39,35.39,27.78,22.11,14.89
"305","57816099999","1138.73","26.538522","106.800703","1990-01-01","2019-12-31",15.5,21.22,24.78,28.5,29.28,30,31.28,32,30.28,26.28,22.39,17.11
"307","57957099999","173.73","25.218106","110.039197","1990-01-01","2019-12-31",19,23,25,30,32.5,34,36,36.39,35,31.28,27,21
